% File containing map information


% Formatting:
% wall x1 y1 x2 y2
%   Order does not matter between the points


wall -38.828 38.480 -38.828 -38.480
wall -38.828 -38.480 38.690 -38.480
wall 38.690 -38.480 38.690 38.480
wall 38.690 38.480 -38.828 38.480
wall -38.690 9.840 -38.690 5.040
wall -38.690 5.040 -9.862 5.040
wall -9.862 5.040 -9.862 9.840
wall -9.862 9.840 -38.690 9.840
wall -38.828 -20.240 -38.828 -25.360
wall -38.828 -25.360 -10.000 -25.360
wall -10.000 -25.360 -10.000 -20.240
wall -10.000 -20.240 -38.828 -20.240
wall 38.552 19.760 38.552 14.640
wall 38.552 14.640 10.138 14.640
wall 10.138 14.640 10.138 19.760
wall 10.138 19.760 38.552 19.760
wall 38.690 -0.080 38.690 -4.720
wall 38.690 -4.720 10.000 -4.720
wall 10.000 -4.720 10.000 -0.080
wall 10.000 -0.080 38.690 -0.080
wall 10.138 -20.240 10.138 -25.360
wall 10.138 -25.360 38.690 -25.360
wall 38.690 -25.360 38.690 -20.240
wall 38.690 -20.240 10.138 -20.240
